date,region,category,product_name,text,label
20-08-2025,US,table,StudySleek Table,I love the StudySleek Table. Great for my table needs.,positive
30-08-2025,ZA,table,StudySleek Table,I happy with the StudySleek Table. Great for my table needs.,positive
01-10-2025,CA,table,StudySleek Table,StudySleek Table - price.,neutral
10-10-2025,AE,table,StudySleek Table,This StudySleek Table is poor quality. Very unhappy.,negative
18-09-2025,SG,table,StudySleek Table,I stylish the StudySleek Table. Great for my table needs.,positive
06-10-2025,US,table,StudySleek Table,This StudySleek Table is worst. Very unhappy.,negative
16-09-2025,FR,table,StudySleek Table,I best purchase the StudySleek Table. Great for my table needs.,positive
31-08-2025,AE,table,StudySleek Table,I love the StudySleek Table. Great for my table needs.,positive
31-07-2025,US,table,StudySleek Table,StudySleek Table - delivery update.,neutral
15-08-2025,IN,table,StudySleek Table,I best purchase the StudySleek Table. Great for my table needs.,positive
02-09-2025,SG,table,CoffeeCraft Table,CoffeeCraft Table - received.,neutral
11-09-2025,SG,table,CoffeeCraft Table,I stylish the CoffeeCraft Table. Great for my table needs.,positive
26-09-2025,DE,table,CoffeeCraft Table,I excellent the CoffeeCraft Table. Great for my table needs.,positive
03-09-2025,DE,table,CoffeeCraft Table,CoffeeCraft Table - ordered.,neutral
10-10-2025,SG,table,CoffeeCraft Table,CoffeeCraft Table - price.,neutral
27-08-2025,GB,table,CoffeeCraft Table,CoffeeCraft Table - ordered.,neutral
28-10-2025,AU,table,CoffeeCraft Table,I best purchase the CoffeeCraft Table. Great for my table needs.,positive
28-08-2025,CA,table,CoffeeCraft Table,CoffeeCraft Table - ordered.,neutral
24-10-2025,FR,table,CoffeeCraft Table,This CoffeeCraft Table is broken. Very unhappy.,negative
14-10-2025,GB,table,CoffeeCraft Table,This CoffeeCraft Table is cheap. Very unhappy.,negative
21-10-2025,GB,table,DinnerDelight Table,I great the DinnerDelight Table. Great for my table needs.,positive
14-09-2025,FR,table,DinnerDelight Table,I great the DinnerDelight Table. Great for my table needs.,positive
06-09-2025,AU,table,DinnerDelight Table,I comfortable the DinnerDelight Table. Great for my table needs.,positive
21-08-2025,IN,table,DinnerDelight Table,I excellent the DinnerDelight Table. Great for my table needs.,positive
28-08-2025,CA,table,DinnerDelight Table,I love the DinnerDelight Table. Great for my table needs.,positive
21-08-2025,ZA,table,DinnerDelight Table,DinnerDelight Table - inquiry.,neutral
20-09-2025,AE,table,DinnerDelight Table,I love the DinnerDelight Table. Great for my table needs.,positive
13-10-2025,GB,table,DinnerDelight Table,This DinnerDelight Table is missing parts. Very unhappy.,negative
19-10-2025,DE,table,DinnerDelight Table,I excellent the DinnerDelight Table. Great for my table needs.,positive
01-08-2025,DE,table,DinnerDelight Table,This DinnerDelight Table is worst. Very unhappy.,negative
21-10-2025,FR,table,CraftWork Table,CraftWork Table - color options.,neutral
05-08-2025,SG,table,CraftWork Table,This CraftWork Table is bad. Very unhappy.,negative
17-08-2025,US,table,CraftWork Table,This CraftWork Table is worst. Very unhappy.,negative
29-10-2025,IN,table,CraftWork Table,CraftWork Table - dimensions.,neutral
23-08-2025,GB,table,CraftWork Table,I great the CraftWork Table. Great for my table needs.,positive
11-10-2025,AU,table,CraftWork Table,I comfortable the CraftWork Table. Great for my table needs.,positive
20-08-2025,IN,table,CraftWork Table,I stylish the CraftWork Table. Great for my table needs.,positive
01-10-2025,AU,table,CraftWork Table,I stylish the CraftWork Table. Great for my table needs.,positive
21-08-2025,DE,table,CraftWork Table,CraftWork Table - specs.,neutral
16-08-2025,ZA,table,CraftWork Table,CraftWork Table - inquiry.,neutral
01-09-2025,AU,table,MultiFold Table,This MultiFold Table is bad. Very unhappy.,negative
25-10-2025,AU,table,MultiFold Table,I best purchase the MultiFold Table. Great for my table needs.,positive
26-10-2025,SG,table,MultiFold Table,I perfect the MultiFold Table. Great for my table needs.,positive
23-08-2025,CA,table,MultiFold Table,I excellent the MultiFold Table. Great for my table needs.,positive
27-08-2025,AU,table,MultiFold Table,MultiFold Table - received.,neutral
18-09-2025,SG,table,MultiFold Table,MultiFold Table - dimensions.,neutral
18-10-2025,GB,table,MultiFold Table,I best purchase the MultiFold Table. Great for my table needs.,positive
31-07-2025,DE,table,MultiFold Table,This MultiFold Table is broken. Very unhappy.,negative
09-08-2025,ZA,table,MultiFold Table,I comfortable the MultiFold Table. Great for my table needs.,positive
15-10-2025,SG,table,MultiFold Table,MultiFold Table - ordered.,neutral
25-10-2025,GB,table,FamilyTable Table,This FamilyTable Table is late delivery. Very unhappy.,negative
07-09-2025,GB,table,FamilyTable Table,I happy with the FamilyTable Table. Great for my table needs.,positive
19-10-2025,ZA,table,FamilyTable Table,I stylish the FamilyTable Table. Great for my table needs.,positive
20-10-2025,GB,table,FamilyTable Table,I perfect the FamilyTable Table. Great for my table needs.,positive
07-10-2025,AU,table,FamilyTable Table,I high quality the FamilyTable Table. Great for my table needs.,positive
17-10-2025,IN,table,FamilyTable Table,I comfortable the FamilyTable Table. Great for my table needs.,positive
29-09-2025,DE,table,FamilyTable Table,FamilyTable Table - ordered.,neutral
23-09-2025,DE,table,FamilyTable Table,FamilyTable Table - color options.,neutral
13-09-2025,FR,table,FamilyTable Table,I high quality the FamilyTable Table. Great for my table needs.,positive
29-10-2025,ZA,table,FamilyTable Table,I high quality the FamilyTable Table. Great for my table needs.,positive
25-09-2025,DE,table,CompactDesk Table,CompactDesk Table - received.,neutral
26-10-2025,AU,table,CompactDesk Table,I great the CompactDesk Table. Great for my table needs.,positive
16-08-2025,ZA,table,CompactDesk Table,I best purchase the CompactDesk Table. Great for my table needs.,positive
29-10-2025,SG,table,CompactDesk Table,I well-made the CompactDesk Table. Great for my table needs.,positive
25-09-2025,ZA,table,CompactDesk Table,I well-made the CompactDesk Table. Great for my table needs.,positive
05-10-2025,SG,table,CompactDesk Table,I best purchase the CompactDesk Table. Great for my table needs.,positive
03-10-2025,CA,table,CompactDesk Table,CompactDesk Table - price.,neutral
14-10-2025,AU,table,CompactDesk Table,I well-made the CompactDesk Table. Great for my table needs.,positive
27-09-2025,ZA,table,CompactDesk Table,I well-made the CompactDesk Table. Great for my table needs.,positive
06-09-2025,CA,table,CompactDesk Table,CompactDesk Table - price.,neutral
21-10-2025,AU,table,RusticWood Table,This RusticWood Table is not comfortable. Very unhappy.,negative
28-09-2025,GB,table,RusticWood Table,I great the RusticWood Table. Great for my table needs.,positive
05-10-2025,DE,table,RusticWood Table,RusticWood Table - color options.,neutral
25-10-2025,CA,table,RusticWood Table,I best purchase the RusticWood Table. Great for my table needs.,positive
19-08-2025,US,table,RusticWood Table,I comfortable the RusticWood Table. Great for my table needs.,positive
