text,date,region,product_name,sentiment_label,category
@OsarodionChosen @KillaKreww obviously haaland's best friend hasn't responded her so she settled with rich one. most tricky part is we actually dont know who is pounding her in the bed or sofa other than haaland at all.,2025-10-29 12:48:36+00:00,unknown,sofa,positive,sofa
If you think this is hot… you’re not ready for the full video😈 we’re building a little sex dungeon and we were testing out the new sofa.. its perfect 🥰 https://t.co/S3PzG4T5S0,2025-10-29 12:48:35+00:00,unknown,sofa,positive,sofa
Doing nothing? A.k.a. $SIT doing the heavy lifting. 💸 Grab some and let your sofa be a staking platform. #DoNothingEarnSomething #BNBChain #MemeCoin   🚀😉,2025-10-29 12:48:17+00:00,unknown,sofa,negative,sofa
"@Sofa_Kingbad @glarywang26086 @Talossa @FBIDenver @NickWallsteadt @kwallsteadt @FestiveWarrior @irishmom0508 @wallsteadt @qatarairways @HugoAwardFan @WeaponizD1 @guardpilot True—2025 polls mark historic lows, with US sympathy for Israelis below 50% for the first time in 25 years (Gallup/PBS), 59% unfavorable to its government (Pew Oct), and majority opposition to aid (NYT/Siena Sep), signaling a entrenched setback without rebound signals. Trends",2025-10-29 12:48:09+00:00,unknown,sofa,positive,sofa
@15miyaaa @ln4op81_ @mcavenn @scamris @simpleleLovely I don't want to lie on the sofa in the evening. I'm an old person,2025-10-29 12:47:27+00:00,unknown,sofa,neutral,sofa
@SpeakerPelosi We have seen a lot of you sitting on the sofa in your homes. You need accountability for Jan 6. It’s coming,2025-10-29 12:47:06+00:00,unknown,sofa,neutral,sofa
"@MelodySmithPond @triggerandink @10oncomingstorm @OffshootDrsKid ⠀⠀
⠀⠀ He adheres to Riverʼs request about halting the facts ... for now. “I am brilliant pilot — the best actually...” The Doctor protests, launching onto a sofa with exaggerated flourish.
⠀⠀ His legs cross, fingers flicking an invisible spec of lint from his thigh. —
⠀⠀",2025-10-29 12:46:38+00:00,unknown,sofa,positive,sofa
"🩹Puddle’s mirror sky🚦Sofa music play; sing off-key, no care.🫲",2025-10-29 12:46:11+00:00,unknown,sofa,neutral,sofa
@bornclicky The weirdo is the person asleep on a Costa sofa with his feet up,2025-10-29 12:45:40+00:00,unknown,sofa,neutral,sofa
"@VideosVuvu After all the exchanges, he will be allowed to continue with his journey, still carrying that sofa",2025-10-29 12:44:01+00:00,unknown,sofa,neutral,sofa
"@curious_founder So... do they like the Democrats, then? If they hate both parties they won't participate in making a change, they will stay on the sofa when election day comes. 
And a third party getting a realistic chance in an election  will simply not happen.",2025-10-29 12:43:59+00:00,unknown,sofa,negative,sofa
@McivorJaymey The worlds worst spit roast on that sofa,2025-10-29 12:43:52+00:00,unknown,sofa,negative,sofa
"@Sofa_Kingbad @glarywang26086 @Talossa @FBIDenver @NickWallsteadt @kwallsteadt @FestiveWarrior @irishmom0508 @wallsteadt @qatarairways @HugoAwardFan @WeaponizD1 @guardpilot Yes. Polls show US support for Israel's actions plummeting—32% back Gaza operations (Gallup, Jul 2025), favorability for its government at 35% (Pew, Oct 2025), down from pre-escalation highs—with majorities now opposing aid (NYT/Siena, Sep 2025). This signals a perception setback",2025-10-29 12:43:45+00:00,unknown,sofa,neutral,sofa
@PowerLFG @smoothasfkk the sofa looks like a money,2025-10-29 12:42:34+00:00,unknown,sofa,neutral,sofa
@alijmold She did!!🙀🙀🙀 she's snuggled up on sofa xxx💖💖💖💖💖,2025-10-29 12:40:47+00:00,unknown,sofa,neutral,sofa
"@IrishTimes @rtenews Claims/proposals by SF, PB4P, SocDems, Labour are taken at face value without interrogation, but are  routinely put to Govt reps to defend.
@rtetwip sofa has one Govt reps v. 2/3 opposition,
PB4P has 3 tds, but external observers might think Paul Murphy was Opposition leader. 2/2",2025-10-29 12:40:16+00:00,unknown,sofa,neutral,sofa
"1 crore today buys a house.

In 20 years — a car.

In 40 years — a sofa.

At 7% inflation, your wealth shrinks silently.

Invest in assets that grow faster than inflation.

#Investing #FinancialFreedom #WealthBuilding",2025-10-29 12:39:55+00:00,unknown,sofa,neutral,sofa
"Celora 2 Seater Fabric Sofa Ivory | Dual Tone Fabric | Cushions Included | 48 Months Warranty
#vassio #India #Online 

https://t.co/r7FFwG6THI https://t.co/o2XtIyV4Mj",2025-10-29 12:38:58+00:00,unknown,sofa,neutral,sofa
@RobertM42723380 Good afternoon 😻 xxx she's in her sofa nest dosed up on beechams!😹😹😹😹💓,2025-10-29 12:38:44+00:00,unknown,sofa,positive,sofa
"@jnkcsprincess Plastic Off The Sofa
Virgo’s Groove
Heated
Move
Break My Soul
Energy
Church Girl
Thique
All Up In Your Mind
America Has A Problem 
Pure/Honey
Summer Renaissance 
I’m That Girl
Cozy
Alien Superstar 
Cuff It",2025-10-29 12:38:25+00:00,unknown,sofa,negative,sofa
"Lool, sofa chat na mad place https://t.co/LH3187PTyx",2025-10-29 12:37:04+00:00,unknown,sofa,negative,sofa
@DKFreako @Elizabeth241072 @SteveMcGrory2 @GerrySherry @CarlJungleBhoy @The3rdFrame @JimmynotP @East15Gerrard @FrankH67 @mrob1960 @gerryod51 @dannybhoy170 @melv4760 @Southdoncosmos @OFearaigh I loved Bloc Party....The Prayer was a great song....their best for me....loved the brilliant video too...definitely reminded me of the end of a few lads nights out seeing them all zonked out on the sofa in the club 😃,2025-10-29 12:36:51+00:00,unknown,sofa,positive,sofa
"@millerhardys @katzenjammrs She leant it her that first night when she kipped on the sofa, keep up!",2025-10-29 12:35:52+00:00,unknown,sofa,positive,sofa
"@Tushae_ All my instincts were set up, cos I been wan pick tennis ticket, and I checked sofa chat and several guys said Ruud would fk.

I thought it was them being foolish.

I no know say the werey still Dey wait me inside your slip",2025-10-29 12:35:14+00:00,unknown,sofa,neutral,sofa
"DC: two bros, sitting on a sofa, five-feet-apart-cause-they're-not-gay #superbat https://t.co/z5Fy7VWXMp",2025-10-29 12:33:29+00:00,unknown,sofa,neutral,sofa
"ahhh gets ko na ‘yong conversation betw ww and jh sa sofa lmao. well, got hints naman na many panels back, but this sealed it haha https://t.co/HxFPGXWaoG",2025-10-29 12:33:24+00:00,unknown,sofa,positive,sofa
"@SportDrinkCo Dude probably smells like a 40 year old comics couch. 

He is the definition of sofa pizza",2025-10-29 12:33:15+00:00,unknown,sofa,neutral,sofa
"#HappeningNow Celebrating 80 years of FAO Statistics

@FAOStatistics Chief Statistician Jose Rosero Moncayo reviewing 8 decades of agricultural statistics @FAO - including early reports like SOFA (1947) &amp; World Food Survey (1946, precursor to SOFI)

📊https://t.co/Gl7zWkBqbq https://t.co/DCbq8RS631",2025-10-29 12:32:10+00:00,unknown,sofa,neutral,sofa
"@Ash_Lee_IRL If trans means transition.. 

then what transition happened 🤔 a women became a woman ? Is not a change 

so they are not trans if they was a women before surgery. And after surgery they still have the old chromosomes. 

If I stick some wheels on a sofa it doesn't become a car",2025-10-29 12:31:46+00:00,unknown,sofa,neutral,sofa
"Best new quote: ""Got a new mustache!""
(friend lost his fake one under the sofa...long story)",2025-10-29 12:30:47+00:00,unknown,sofa,positive,sofa
"Buy ₹8,398.     Sofa-Cum-Bed | 3-in 1
https://t.co/lYlqJj1P5B",2025-10-29 12:28:51+00:00,unknown,sofa,neutral,sofa
@Hotspvrre So retro! even the sofa. love this.,2025-10-29 12:28:31+00:00,unknown,sofa,positive,sofa
"@HomeEssentials5 @Tanishq64289177
@ConsumerHelpBBR @PMOIndia @consumercourtin 
I ordered sofa throws . Poor quality of the product threads ending up everywhere, from clothes to the floor and even on the couch.threads of throw sticky to sofa.a mix of materials, cheaper finishing,",2025-10-29 12:28:19+00:00,unknown,sofa,negative,sofa
Reading while lying on the bed / sofa without wearing earphone = a good combo for me to immediately fall asleep after 1st page https://t.co/ZZ5DNoAZLF,2025-10-29 12:28:13+00:00,unknown,sofa,positive,sofa
